Escola,Total,Admitidos,Taxa_%
CENTRO PRÉ - UNIVERSITÁRIO DE LUANDA,79,18,22.78
CENTRO PRÉ - UNIVERSITÁRIO DO CAZENGA,11,0,0.0
CENTRO PRÉ - UNIVERSITÁRIO DO SUMBE,12,4,33.33
COLÉGIO BETÃNIA,11,1,9.09
COMPLEXO ESCOLAR NOSSA SENHORA DE FÁTIMA Nº 14 DAS IRMÃS DE SÃO JOSÉ DE CLUNY- MALANJE,13,2,15.38
COMPLEXO ESCOLAR POLITÉCNICO ELSAMINA,21,6,28.57
ESCOLA DE FORMAÇÃO DE PROFESSORES COR MARIAE DO UIGE,10,6,60.0
"ESCOLA DE FORMAÇÃO DE PROFESSORES Nº 1093 ""GARCIA NETO""",10,3,30.0
ESCOLA DO ENSINO II CICLO DO ENSINO SECUNDARIO MUTU YA KEVELA,21,10,47.62
ESCOLA DO II CICLO DO ENSINO SECUNDÁRIO Nº 2003 / 14 DE ABRIL,12,4,33.33
ESCOLA DO II CICLO DO ENSINO SECUNDÁRIO Nº 5112 - CAPALANGA,15,4,26.67
ESCOLA DO IIº CICLO DO ENSINO SECUNDÁRIO DO CAZENGA Nº 3040 - OSCAR RIBAS -,10,0,0.0
ESCOLA DO IIº CICLO DO ENSINO SECUNDÁRIO DO CAZENGA Nº 3043,22,9,40.91
ESCOLA DO IIº CICLO DO ENSINO SECUNDÁRIO NGOLA KILUANJI Nº 1063 - LUANDA,15,4,26.67
ESCOLA DO IIº CICLO DO ENSINO SECUNDÁRIO Nº 5104 / ENGº JOÃO BEIRÃO,12,3,25.0
ESCOLA DO IIº CICLO DO ENSINO SECUNDÁRIO Nº 5106 - NEVES & SOUSA,10,4,40.0
INSTITUTO GEOGRÁFICO E CADASTRAL DE ANGOLA - ESCOLA DE TOPOGRAFIA,11,3,27.27
INSTITUTO MEDIO DE AGRARIO DE MALANJE,10,2,20.0
INSTITUTO MEDIO POLITECNICO DE 28 DE AGOSTO DO DUNDO,11,2,18.18
INSTITUTO MEDIO POLITECNICO DE CACUACO Nº8072,24,4,16.67
INSTITUTO MEDIO POLITECNICO DE CHIAZI_CABINDA,10,4,40.0
INSTITUTO MEDIO POLITECNICO SMARTBITS,14,3,21.43
INSTITUTO MEDIO POLITÉCNICO DO SUMBE,26,3,11.54
INSTITUTO MÉDIO AGRÁRIO DE MALANJE,14,2,14.29
"INSTITUTO MÉDIO INDUSTRIAL ""SIMIONE MUCUNE""",83,25,30.12
INSTITUTO MÉDIO INDUSTRIAL DE LUANDA,73,24,32.88
"INSTITUTO MÉDIO POLITÉCNICO ""PASCOAL LUVUALU""",48,7,14.58
INSTITUTO MÉDIO POLITÉCNICO ALDA LARA,136,34,25.0
INSTITUTO MÉDIO POLITÉCNICO DA HUMPATA,13,3,23.08
INSTITUTO MÉDIO POLITÉCNICO DE CACUACO Nº 4072,17,2,11.76
INSTITUTO MÉDIO POLITÉCNICO DE VIANA Nº 5103 (EX - 9103),50,7,14.0
INSTITUTO MÉDIO POLITÉCNICO DO BENGO,17,2,11.76
INSTITUTO MÉDIO POLITÉCNICO DO CAZENGA Nº3072,55,8,14.55
INSTITUTO MÉDIO POLITÉCNICO DO SAMBIZANGA Nº 1155 EX. 4036- LUANDA,14,3,21.43
INSTITUTO MÉDIO POLITÉCNICO DO SOYO,28,7,25.0
INSTITUTO MÉDIO POLITÉCNICO DO UÍGE,45,11,24.44
INSTITUTO MÉDIO POLITÉCNICO NOVA VIDA,25,8,32.0
INSTITUTO MÉDIO PRIVADO DE TECNOLOGIAS IMPTEL,14,2,14.29
INSTITUTO MÉDIO TÉCNICO 17 DE DEZEMBRO,77,13,16.88
INSTITUTO MÉDIO TÉCNICO SÃO BENEDITO,12,3,25.0
INSTITUTO NACIONAL DE PETRÓLEOS,18,8,44.44
INSTITUTO NACIONAL DE TELECOMUNICAçõES ( ITEL),19,6,31.58
"INSTITUTO POLITECNICO INDUSTRIAL DO KILAMBA KIAXI Nº 8056""NOVA VIDA""",42,10,23.81
INSTITUTO POLITÉCNICO DE CABINDA,14,5,35.71
INSTITUTO POLITÉCNICO DE CIÊNCIAS GEOGRÁFICAS,36,13,36.11
INSTITUTO POLITÉCNICO DO SAMBIZANGA Nº 1405,11,1,9.09
"INSTITUTO POLITÉCNICO INDUSTRIAL ""SIMIONE MUCUNE"" Nº 1119",29,7,24.14
INSTITUTO POLITÉCNICO INDUSTRIAL DE LUANDA,130,38,29.23
INSTITUTO POLITÉCNICO Nº 2039 - 30 DE SETEMBRO,30,3,10.0
INSTITUTO POLITÉCNICO PASCOAL LUVUALU Nº 8025,45,9,20.0
LICEU 2003/ 14 DE ABRIL,12,3,25.0
LICEU NGOLA KILUANJI Nº 1145,12,6,50.0
LICEU Nº 3084,10,2,20.0
LICEU Nº 5135/ ZANGO IV,21,6,28.57
LICEU Nº 8042 EX. 1250 PUNIV ANA PAULA,12,2,16.67
LICEU Nº9026-SAPÊ II TALATONA,11,3,27.27
LICEU REI MANDUME Nº 1504,11,3,27.27
Outro,98,27,27.55
