Curso_Medio,Faixa_Nota,N,Probabilidade_%
CIÊNCIAS FÍSICAS E BIOLÓGICAS,9-11,141,100.0
CIÊNCIAS FÍSICAS E BIOLÓGICAS,11-13,31,100.0
CIÊNCIAS FÍSICAS E BIOLÓGICAS,13-20,5,100.0
INFORMÁTICA,9-11,46,100.0
INFORMÁTICA,11-13,17,100.0
ENERGIA E INSTALAÇÕES ELÉCTRICAS,9-11,35,100.0
ENERGIA E INSTALAÇÕES ELÉCTRICAS,11-13,7,100.0
DESENHADOR PROJECTISTA,9-11,34,100.0
ELECTRÓNICA E TELECOMUNICAÇÕES,9-11,22,100.0
OBRAS DE CONSTRUÇÃO CIVIL,9-11,15,100.0
CONSTRUÇÃO CIVÍL,9-11,15,100.0
ELECTRICIDADE,9-11,7,100.0
MATEMATICA E FÍSICA,9-11,20,100.0
TÉCNICO DE MÁQUINAS E MOTORES,9-11,13,100.0
FRIO E CLIMATIZAÇÃO,9-11,5,100.0
ELECTROMECÂNICA,9-11,8,100.0
TÉCNICO DE GESTÃO DE SISTEMA INFORMÁTICOS,9-11,8,100.0
CIÊNCIAS FÍSICAS E BIOLÓGICAS E AGRÔNOMAS,9-11,5,100.0
